"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 10:04:41 UTC 2023","Wed Nov 08 10:05:05 UTC 2023","24150","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Nov 08 10:06:49 UTC 2023","Wed Nov 08 10:06:53 UTC 2023","4196","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Nov 08 09:03:03 UTC 2023","Wed Nov 08 09:04:06 UTC 2023","62971","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Wed Nov 08 10:07:04 UTC 2023","Wed Nov 08 10:07:42 UTC 2023","37620","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Wed Nov 08 09:50:12 UTC 2023","Wed Nov 08 09:50:25 UTC 2023","12963","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Nov 08 10:06:53 UTC 2023","Wed Nov 08 10:07:02 UTC 2023","9102","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Wed Nov 08 10:23:46 UTC 2023","Wed Nov 08 10:24:16 UTC 2023","30308","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed Nov 08 09:27:37 UTC 2023","Wed Nov 08 09:27:56 UTC 2023","19508","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed Nov 08 08:37:27 UTC 2023","Wed Nov 08 08:37:32 UTC 2023","5121","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Nov 08 09:07:52 UTC 2023","Wed Nov 08 09:07:57 UTC 2023","5391","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Nov 08 08:26:52 UTC 2023","Wed Nov 08 08:27:23 UTC 2023","31341","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed Nov 08 09:02:53 UTC 2023","Wed Nov 08 09:02:54 UTC 2023","1841","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
